type,datalogger_id,alt_height_slope,alt_type,side_andes,height,mean.value,alt.slope,alt.type_height,data.type,mean.value.type,month
temp.max,T_40,low_c_west,low,west,c,27.38324902,low_west,low_c,wild,daily.annual.mean,annual
temp.mean,H_01,low_u_east,low,east,u,23.4947254,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,H_02,low_c_east,low,east,c,23.80175372,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,H_03,low_u_east,low,east,u,23.14753908,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,H_04,low_c_east,low,east,c,23.72210249,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,H_05,high_u_east,high,east,u,18.71187104,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,H_06,high_c_east,high,east,c,18.8415359,high_east,high_c,wild,daily.annual.mean,annual
temp.mean,H_07,high_u_east,high,east,u,19.12670714,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,H_08,high_c_east,high,east,c,19.19589421,high_east,high_c,wild,daily.annual.mean,annual
temp.mean,H_09,high_u_west,high,west,u,18.42812914,high_west,high_u,wild,daily.annual.mean,annual
temp.mean,H_10,high_c_west,high,west,c,18.59932412,high_west,high_c,wild,daily.annual.mean,annual
temp.mean,H_11,high_u_west,high,west,u,18.88062124,high_west,high_u,wild,daily.annual.mean,annual
temp.mean,H_12,high_c_west,high,west,c,18.85357987,high_west,high_c,wild,daily.annual.mean,annual
temp.mean,H_13,low_u_west,low,west,u,22.21765173,low_west,low_u,wild,daily.annual.mean,annual
temp.mean,H_14,low_c_west,low,west,c,22.49080976,low_west,low_c,wild,daily.annual.mean,annual
temp.mean,H_15,low_u_west,low,west,u,22.34490854,low_west,low_u,wild,daily.annual.mean,annual
temp.mean,H_16,low_c_west,low,west,c,22.54117629,low_west,low_c,wild,daily.annual.mean,annual
temp.mean,T_01,low_u_east,low,east,u,23.51920425,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,T_02,low_c_east,low,east,c,24.08983423,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,T_03,low_u_east,low,east,u,23.70141204,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,T_04,low_c_east,low,east,c,24.37379866,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,T_05,low_u_east,low,east,u,23.59581824,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,T_06,low_c_east,low,east,c,24.3720137,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,T_07,low_u_east,low,east,u,23.49698657,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,T_08,low_c_east,low,east,c,23.66702061,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,T_09,low_u_east,low,east,u,23.68404514,low_east,low_u,wild,daily.annual.mean,annual
temp.mean,T_10,low_c_east,low,east,c,23.88259633,low_east,low_c,wild,daily.annual.mean,annual
temp.mean,T_11,high_u_east,high,east,u,19.58593694,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,T_13,high_u_east,high,east,u,19.12423886,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,T_14,high_c_east,high,east,c,19.563873,high_east,high_c,wild,daily.annual.mean,annual
temp.mean,T_15,high_u_east,high,east,u,19.0497007,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,T_16,high_c_east,high,east,c,19.18191109,high_east,high_c,wild,daily.annual.mean,annual
temp.mean,T_17,high_u_east,high,east,u,18.94940956,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,T_18,high_c_east,high,east,c,19.18421137,high_east,high_c,wild,daily.annual.mean,annual
temp.mean,T_19,high_u_east,high,east,u,19.0728432,high_east,high_u,wild,daily.annual.mean,annual
temp.mean,T_20,high_c_east,high,east,c,19.82553305,high_east,high_c,wild,daily.annual.mean,annual
temp.mean,T_21,high_u_west,high,west,u,18.83623093,high_west,high_u,wild,daily.annual.mean,annual
temp.mean,T_22,high_c_west,high,west,c,19.07580921,high_west,high_c,wild,daily.annual.mean,annual
temp.mean,T_23,high_u_west,high,west,u,18.99502102,high_west,high_u,wild,daily.annual.mean,annual
temp.mean,T_24,high_c_west,high,west,c,19.2134623,high_west,high_c,wild,daily.annual.mean,annual
temp.mean,T_25,high_u_west,high,west,u,19.14406056,high_west,high_u,wild,daily.annual.mean,annual
temp.mean,T_26,high_c_west,high,west,c,19.34817194,high_west,high_c,wild,daily.annual.mean,annual
temp.mean,T_27,high_u_west,high,west,u,19.25699967,high_west,high_u,wild,daily.annual.mean,annual
temp.mean,T_28,high_c_west,high,west,c,19.28259042,high_west,high_c,wild,daily.annual.mean,annual
temp.mean,T_29,high_u_west,high,west,u,19.50063419,high_west,high_u,wild,daily.annual.mean,annual
