"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-09","low_c_west","low","west","c",24.5974691358025,NA,"temp.max"
"2017-02-09","low_u_east","low","east","u",23.2455787037037,NA,"temp.max"
"2017-02-09","low_u_west","low","west","u",23.7865663580247,NA,"temp.max"
"2017-02-10","high_c_east","high","east","c",21.0573564814815,NA,"temp.max"
"2017-02-10","high_c_west","high","west","c",20.6761011904762,NA,"temp.max"
"2017-02-10","high_u_east","high","east","u",20.3622511574074,NA,"temp.max"
"2017-02-10","high_u_west","high","west","u",20.1878670634921,NA,"temp.max"
"2017-02-10","low_c_east","low","east","c",25.6551256613757,NA,"temp.max"
"2017-02-10","low_c_west","low","west","c",24.9643942901235,NA,"temp.max"
"2017-02-10","low_u_east","low","east","u",24.6241396604938,NA,"temp.max"
"2017-02-10","low_u_west","low","west","u",24.0979282407407,NA,"temp.max"
"2017-02-11","high_c_east","high","east","c",20.071462962963,NA,"temp.max"
"2017-02-11","high_c_west","high","west","c",20.2322387566138,NA,"temp.max"
"2017-02-11","high_u_east","high","east","u",19.8014293981481,NA,"temp.max"
"2017-02-11","high_u_west","high","west","u",20.0176388888889,NA,"temp.max"
"2017-02-11","low_c_east","low","east","c",24.783835978836,NA,"temp.max"
"2017-02-11","low_c_west","low","west","c",24.699375,NA,"temp.max"
"2017-02-11","low_u_east","low","east","u",24.1634915123457,NA,"temp.max"
"2017-02-11","low_u_west","low","west","u",23.8258641975309,NA,"temp.max"
"2017-02-12","high_c_east","high","east","c",19.503125,NA,"temp.max"
"2017-02-12","high_c_west","high","west","c",19.1108134920635,NA,"temp.max"
"2017-02-12","high_u_east","high","east","u",19.3217361111111,NA,"temp.max"
"2017-02-12","high_u_west","high","west","u",19.1041931216931,NA,"temp.max"
"2017-02-12","low_c_east","low","east","c",24.6345072751323,NA,"temp.max"
"2017-02-12","low_c_west","low","west","c",22.9869907407407,NA,"temp.max"
"2017-02-12","low_u_east","low","east","u",24.2026851851852,NA,"temp.max"
"2017-02-12","low_u_west","low","west","u",22.7854783950617,NA,"temp.max"
"2017-02-13","high_c_east","high","east","c",19.5873287037037,NA,"temp.max"
"2017-02-13","high_c_west","high","west","c",18.6362731481481,NA,"temp.max"
"2017-02-13","high_u_east","high","east","u",19.4103472222222,NA,"temp.max"
"2017-02-13","high_u_west","high","west","u",18.5821362433862,NA,"temp.max"
"2017-02-13","low_c_east","low","east","c",25.4545767195767,NA,"temp.max"
"2017-02-13","low_c_west","low","west","c",23.1461612654321,NA,"temp.max"
"2017-02-13","low_u_east","low","east","u",24.6085956790123,NA,"temp.max"
"2017-02-13","low_u_west","low","west","u",22.6548302469136,NA,"temp.max"
"2017-02-14","high_c_east","high","east","c",19.3411759259259,NA,"temp.max"
"2017-02-14","high_c_west","high","west","c",20.1140509259259,NA,"temp.max"
"2017-02-14","high_u_east","high","east","u",19.2879513888889,NA,"temp.max"
"2017-02-14","high_u_west","high","west","u",19.6925760582011,NA,"temp.max"
