"Time","side_andes","alt_type","height","alt_height_slope","alt_height_type","value","sd","alt.type_height"
"07:00:00","west","high","u","high_u_west","high_u",17.9771407202789,0.309793995126626,"high_u"
"07:00:00","west","low","c","low_c_west","low_c",20.9087807535125,0.165954990559407,"low_c"
"07:00:00","west","low","u","low_u_west","low_u",21.0994686822965,0.215077029889453,"low_u"
"08:00:00","east","high","c","high_c_east","high_c",18.2757888680197,0.510657604478692,"high_c"
"08:00:00","east","high","u","high_u_east","high_u",18.0055869379754,0.202545877279713,"high_u"
"08:00:00","east","low","c","low_c_east","low_c",22.4779048411479,0.312638584369678,"low_c"
"08:00:00","east","low","u","low_u_east","low_u",22.1605409206477,0.189691333316303,"low_u"
"08:00:00","west","high","c","high_c_west","high_c",19.0316178001463,0.607019238386259,"high_c"
"08:00:00","west","high","u","high_u_west","high_u",18.5574426586866,0.316812141615349,"high_u"
"08:00:00","west","low","c","low_c_west","low_c",21.6959476277037,0.359027076704838,"low_c"
"08:00:00","west","low","u","low_u_west","low_u",21.5219062769784,0.25716329532969,"low_u"
"09:00:00","east","high","c","high_c_east","high_c",19.5827988802845,0.780123756330547,"high_c"
"09:00:00","east","high","u","high_u_east","high_u",19.0325812015973,0.31954711558515,"high_u"
"09:00:00","east","low","c","low_c_east","low_c",23.7680113317729,0.565030159588152,"low_c"
"09:00:00","east","low","u","low_u_east","low_u",23.0445066772013,0.357418392643605,"low_u"
"09:00:00","west","high","c","high_c_west","high_c",19.9298485599421,0.840407091610015,"high_c"
"09:00:00","west","high","u","high_u_west","high_u",19.2712572340052,0.422061895097315,"high_u"
"09:00:00","west","low","c","low_c_west","low_c",23.1728126835525,0.703057039476135,"low_c"
"09:00:00","west","low","u","low_u_west","low_u",22.3072465556865,0.402546968977633,"low_u"
"10:00:00","east","high","c","high_c_east","high_c",20.9289993190076,1.0007134623685,"high_c"
"10:00:00","east","high","u","high_u_east","high_u",20.0729434027196,0.468506543095078,"high_u"
"10:00:00","east","low","c","low_c_east","low_c",25.0807485126667,0.672271022492438,"low_c"
"10:00:00","east","low","u","low_u_east","low_u",24.0639706627782,0.466852535697932,"low_u"
"10:00:00","west","high","c","high_c_west","high_c",20.7042606113663,0.96247949098226,"high_c"
"10:00:00","west","high","u","high_u_west","high_u",19.8851082452952,0.474163966308708,"high_u"
"10:00:00","west","low","c","low_c_west","low_c",24.6403290009205,0.958820866527673,"low_c"
"10:00:00","west","low","u","low_u_west","low_u",23.2357791894862,0.608455525808293,"low_u"
"11:00:00","east","high","c","high_c_east","high_c",21.8055028358419,1.06782720132085,"high_c"
"11:00:00","east","high","u","high_u_east","high_u",20.7678624140784,0.592369634248054,"high_u"
"11:00:00","east","low","c","low_c_east","low_c",26.3035948053056,0.825234289334832,"low_c"
"11:00:00","east","low","u","low_u_east","low_u",25.0550788131526,0.720578444264986,"low_u"
"11:00:00","west","high","c","high_c_west","high_c",21.0938316120999,1.00478045287468,"high_c"
"11:00:00","west","high","u","high_u_west","high_u",20.253160150278,0.470526687748897,"high_u"
"11:00:00","west","low","c","low_c_west","low_c",25.5148714899569,1.10170112916334,"low_c"
"11:00:00","west","low","u","low_u_west","low_u",24.053012749467,0.810279303500113,"low_u"
"12:00:00","east","high","c","high_c_east","high_c",22.0276753232274,0.948481881853797,"high_c"
"12:00:00","east","high","u","high_u_east","high_u",21.0961025315792,0.62303682110772,"high_u"
"12:00:00","east","low","c","low_c_east","low_c",27.2780369791286,0.918956476240873,"low_c"
"12:00:00","east","low","u","low_u_east","low_u",25.7322574043803,0.623759879184522,"low_u"
"12:00:00","west","high","c","high_c_west","high_c",21.2618153560064,1.03556155282382,"high_c"
"12:00:00","west","high","u","high_u_west","high_u",20.440992271598,0.486905347281017,"high_u"
"12:00:00","west","low","c","low_c_west","low_c",25.9417674761394,1.04435422368429,"low_c"
"12:00:00","west","low","u","low_u_west","low_u",24.5887966839686,0.902692533335537,"low_u"
"13:00:00","east","high","c","high_c_east","high_c",21.918564735424,0.848780569493849,"high_c"
"13:00:00","east","high","u","high_u_east","high_u",21.123578339394,0.626948429419631,"high_u"
"13:00:00","east","low","c","low_c_east","low_c",27.8211082004486,0.94205454327744,"low_c"
"13:00:00","east","low","u","low_u_east","low_u",26.227076527917,0.608763184103171,"low_u"
"13:00:00","west","high","c","high_c_west","high_c",21.0215637850394,0.855432163659242,"high_c"
"13:00:00","west","high","u","high_u_west","high_u",20.4125613546183,0.477876879128452,"high_u"
"13:00:00","west","low","c","low_c_west","low_c",26.0379710829243,0.905573149944921,"low_c"
"13:00:00","west","low","u","low_u_west","low_u",24.7831011603457,0.849513238394301,"low_u"
"14:00:00","east","high","c","high_c_east","high_c",21.6408110726475,0.749912010612849,"high_c"
"14:00:00","east","high","u","high_u_east","high_u",20.9795817400139,0.579728520475606,"high_u"
"14:00:00","east","low","c","low_c_east","low_c",28.0681046253627,0.970789816440564,"low_c"
"14:00:00","east","low","u","low_u_east","low_u",26.3583347739468,0.581359713393814,"low_u"
"14:00:00","west","high","c","high_c_west","high_c",20.7394941189738,0.758496206421962,"high_c"
"14:00:00","west","high","u","high_u_west","high_u",20.2845182987866,0.449128210091121,"high_u"
"14:00:00","west","low","c","low_c_west","low_c",25.9138157130312,0.739348047310717,"low_c"
"14:00:00","west","low","u","low_u_west","low_u",24.8321363418288,0.748397216322891,"low_u"
"15:00:00","east","high","c","high_c_east","high_c",21.5207471906445,0.667816465430343,"high_c"
"15:00:00","east","high","u","high_u_east","high_u",20.9552765780287,0.665883883658893,"high_u"
"15:00:00","east","low","c","low_c_east","low_c",27.7496825092044,0.80648374927268,"low_c"
"15:00:00","east","low","u","low_u_east","low_u",26.1943191878859,0.507427034040642,"low_u"
"15:00:00","west","high","c","high_c_west","high_c",20.4124180795197,0.653631505601528,"high_c"
"15:00:00","west","high","u","high_u_west","high_u",20.0805867743469,0.419636484247618,"high_u"
"15:00:00","west","low","c","low_c_west","low_c",25.5197916013892,0.546784597335345,"low_c"
"15:00:00","west","low","u","low_u_west","low_u",24.5702506598318,0.623178924370808,"low_u"
"16:00:00","east","high","c","high_c_east","high_c",21.202327717936,0.525668998831335,"high_c"
"16:00:00","east","high","u","high_u_east","high_u",20.7641103542962,0.602329309358238,"high_u"
"16:00:00","east","low","c","low_c_east","low_c",27.1254732188574,0.576678403774265,"low_c"
"16:00:00","east","low","u","low_u_east","low_u",25.699849540402,0.351310036361106,"low_u"
"16:00:00","west","high","c","high_c_west","high_c",20.049539470946,0.536845246453419,"high_c"
"16:00:00","west","high","u","high_u_west","high_u",19.8390669938231,0.37838335789847,"high_u"
"16:00:00","west","low","c","low_c_west","low_c",25.0101868292905,0.431942814385526,"low_c"
"16:00:00","west","low","u","low_u_west","low_u",24.2387007516868,0.519932249744868,"low_u"
"17:00:00","east","high","c","high_c_east","high_c",20.6546538305538,0.389978474267645,"high_c"
"17:00:00","east","high","u","high_u_east","high_u",20.4536173813941,0.530000664135007,"high_u"
"17:00:00","east","low","c","low_c_east","low_c",26.2222224965255,0.36064369254605,"low_c"
"17:00:00","east","low","u","low_u_east","low_u",25.1392480539358,0.242122968226683,"low_u"
"17:00:00","west","high","c","high_c_west","high_c",19.6647167260175,0.444992653597346,"high_c"
"17:00:00","west","high","u","high_u_west","high_u",19.5678184520176,0.344425977143148,"high_u"
"17:00:00","west","low","c","low_c_west","low_c",24.3009595283437,0.343916862396027,"low_c"
"17:00:00","west","low","u","low_u_west","low_u",23.8048145585062,0.436350846011282,"low_u"
"18:00:00","east","high","c","high_c_east","high_c",19.8658074289874,0.204244046302286,"high_c"
"18:00:00","east","high","u","high_u_east","high_u",19.8511107592064,0.28133631278322,"high_u"
"18:00:00","east","low","c","low_c_east","low_c",24.8448749939044,0.132672906179383,"low_c"
"18:00:00","east","low","u","low_u_east","low_u",24.385876419984,0.118257826765802,"low_u"
"18:00:00","west","high","c","high_c_west","high_c",19.2046720832331,0.35193000105795,"high_c"
"18:00:00","west","high","u","high_u_west","high_u",19.2242732279318,0.304449433447233,"high_u"
"18:00:00","west","low","c","low_c_west","low_c",23.399276872163,0.217560767920185,"low_c"
"18:00:00","west","low","u","low_u_west","low_u",23.260272279063,0.317711903137735,"low_u"
"19:00:00","east","high","c","high_c_east","high_c",19.2344002893279,0.154319679663786,"high_c"
"19:00:00","east","high","u","high_u_east","high_u",19.327559838273,0.216848569329837,"high_u"
"19:00:00","east","low","c","low_c_east","low_c",23.8297451113062,0.150581864041139,"low_c"
"19:00:00","east","low","u","low_u_east","low_u",23.7096210701197,0.087924778096607,"low_u"
"19:00:00","west","high","c","high_c_west","high_c",18.8585105023723,0.34319905779759,"high_c"
"19:00:00","west","high","u","high_u_west","high_u",18.9154719603459,0.296047562861223,"high_u"
"19:00:00","west","low","c","low_c_west","low_c",22.6475317137695,0.114556532350958,"low_c"
