"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-09","low_c_west","low","west","c",21.7776851851852,NA,"temp.min"
"2017-02-09","low_u_east","low","east","u",22.1659259259259,NA,"temp.min"
"2017-02-09","low_u_west","low","west","u",22.004537037037,NA,"temp.min"
"2017-02-10","high_c_east","high","east","c",16.7558888888889,NA,"temp.min"
"2017-02-10","high_c_west","high","west","c",18.0451587301587,NA,"temp.min"
"2017-02-10","high_u_east","high","east","u",16.79625,NA,"temp.min"
"2017-02-10","high_u_west","high","west","u",18.0655555555556,NA,"temp.min"
"2017-02-10","low_c_east","low","east","c",21.4696031746032,NA,"temp.min"
"2017-02-10","low_c_west","low","west","c",21.717962962963,NA,"temp.min"
"2017-02-10","low_u_east","low","east","u",21.6841666666667,NA,"temp.min"
"2017-02-10","low_u_west","low","west","u",21.9407407407407,NA,"temp.min"
"2017-02-11","high_c_east","high","east","c",17.8694444444444,NA,"temp.min"
"2017-02-11","high_c_west","high","west","c",18.3750793650794,NA,"temp.min"
"2017-02-11","high_u_east","high","east","u",17.9025,NA,"temp.min"
"2017-02-11","high_u_west","high","west","u",18.4666666666667,NA,"temp.min"
"2017-02-11","low_c_east","low","east","c",21.7563492063492,NA,"temp.min"
"2017-02-11","low_c_west","low","west","c",21.6899074074074,NA,"temp.min"
"2017-02-11","low_u_east","low","east","u",21.9149074074074,NA,"temp.min"
"2017-02-11","low_u_west","low","west","u",21.9090740740741,NA,"temp.min"
"2017-02-12","high_c_east","high","east","c",17.7645555555556,NA,"temp.min"
"2017-02-12","high_c_west","high","west","c",18.4022222222222,NA,"temp.min"
"2017-02-12","high_u_east","high","east","u",17.7897222222222,NA,"temp.min"
"2017-02-12","high_u_west","high","west","u",18.5040476190476,NA,"temp.min"
"2017-02-12","low_c_east","low","east","c",22.5901587301587,NA,"temp.min"
"2017-02-12","low_c_west","low","west","c",21.7738888888889,NA,"temp.min"
"2017-02-12","low_u_east","low","east","u",22.7087037037037,NA,"temp.min"
"2017-02-12","low_u_west","low","west","u",21.9529629629629,NA,"temp.min"
"2017-02-13","high_c_east","high","east","c",17.817,NA,"temp.min"
"2017-02-13","high_c_west","high","west","c",17.8007142857143,NA,"temp.min"
"2017-02-13","high_u_east","high","east","u",17.9325,NA,"temp.min"
"2017-02-13","high_u_west","high","west","u",17.8855555555556,NA,"temp.min"
"2017-02-13","low_c_east","low","east","c",22.0531746031746,NA,"temp.min"
"2017-02-13","low_c_west","low","west","c",21.5665740740741,NA,"temp.min"
"2017-02-13","low_u_east","low","east","u",22.2894444444444,NA,"temp.min"
"2017-02-13","low_u_west","low","west","u",21.7897222222222,NA,"temp.min"
"2017-02-14","high_c_east","high","east","c",18.3736666666667,NA,"temp.min"
"2017-02-14","high_c_west","high","west","c",18.0927777777778,NA,"temp.min"
"2017-02-14","high_u_east","high","east","u",18.4736111111111,NA,"temp.min"
"2017-02-14","high_u_west","high","west","u",18.1097619047619,NA,"temp.min"
"2017-02-14","low_c_east","low","east","c",21.9064285714286,NA,"temp.min"
"2017-02-14","low_c_west","low","west","c",20.7438888888889,NA,"temp.min"
"2017-02-14","low_u_east","low","east","u",22.1140740740741,NA,"temp.min"
"2017-02-14","low_u_west","low","west","u",20.9823148148148,NA,"temp.min"
"2017-02-15","high_c_east","high","east","c",17.2985555555556,NA,"temp.min"
"2017-02-15","high_c_west","high","west","c",18.1711904761905,NA,"temp.min"
